| Anh         | Dice      | IoU       |
| 1896.png    | 0| 0 |
| 1897.png    | 0| 0 |
| 19.png      | 0| 0 |
| 192.png     | 0| 0 |
| 193.png     | 0| 0 |
| 194.png     | 0| 0 |
| 195.png     | 0| 0 |
| 1950.png    | 0| 0 |
| 1956.png    | 0| 0 |
| 1957.png    | 0| 0 |
| 1958.png    | 0| 0 |
| 196.png     | 0| 0 |
| 1967.png    | 0| 0 |
| 2.png       | 0| 0 |
| 20.png      | 0| 0 |
| 201.png     | 0| 0 |
| 202.png     | 0| 0 |
| 21.png      | 0| 0 |
| 2102.png    | 0| 0 |
| 211.png     | 0| 0 |
| 212.png     | 0| 0 |
| 213.png     | 0| 0 |
| 214.png     | 0| 0 |
| 215.png     | 0| 0 |
| 216.png     | 0| 0 |
| 217.png     | 0| 0 |
| 218.png     | 0| 0 |
| 2188.png    | 0| 0 |
| 219.png     | 0| 0 |
| 2190.png    | 0| 0 |
| 2192.png    | 0| 0 |
| 2199.png    | 0| 0 |
| 22.png      | 0| 0 |
| 220.png     | 0| 0 |
| 2200.png    | 0| 0 |
| 221.png     | 0| 0 |
| 222.png     | 0.878759          | 0.783738           |
| 223.png     | 0| 0 |
| 224.png     | 0| 0 |
| 2244.png    | 0| 0 |
| 225.png     | 0| 0 |
| 2257.png    | 0| 0 |
| 2259.png    | 0| 0 |
| 226.png     | 0| 0 |
| 227.png     | 0| 0 |
| 228.png     | 0.297773          | 0.174932           |
| 229.png     | 0| 0 |
| 23.png      | 0| 0 |
| 230.png     | 0| 0 |
| 2307.png    | 0| 0 |
| 2308.png    | 0| 0 |
| 2312.png    | 0| 0 |
| 2313.png    | 0.00446373           | 0.00223686            |
| 2314.png    | 0| 0 |
| 2315.png    | 0| 0 |
| 2316.png    | 0| 0 |
| 2318.png    | 0| 0 |
| 233.png     | 0| 0 |
| 234.png     | 0| 0 |
| 235.png     | 0| 0 |
| 236.png     | 0| 0 |
| 237.png     | 0| 0 |
| 2371.png    | 0| 0 |
| 2379.png    | 0| 0 |
| 238.png     | 0| 0 |
| 2381.png    | 0.000643708            | 0.000321958             |
| 239.png     | 0| 0 |
| 24.png      | 0| 0 |
| 2411.png    | 0| 0 |
| 2412.png    | 0| 0 |
| 242.png     | 0| 0 |
| 2427.png    | 0| 0 |
| 2428.png    | 0| 0 |
| 243.png     | 0| 0 |
| 2431.png    | 0| 0 |
| 2432.png    | 0| 0 |
| 2438.png    | 0| 0 |
| 244.png     | 0| 0 |
| 2446.png    | 0.000452864            | 0.000226483             |
| 2447.png    | 0| 0 |
| 2448.png    | 0| 0 |
| 2449.png    | 0| 0 |
| 245.png     | 0.612344          | 0.441279           |
| 2456.png    | 0| 0 |
| 2457.png    | 0| 0 |
| 246.png     | 0| 0 |
| 247.png     | 0| 0 |
| 2477.png    | 0.291139          | 0.17037           |
| 2482.png    | 0.284616          | 0.16592           |
| 2483.png    | 0.169249          | 0.0924476           |
| 25.png      | 0| 0 |
| 250.png     | 0| 0 |
| 251.png     | 0| 0 |
| 253.png     | 0.378265          | 0.233247           |
| 254.png     | 0.691436          | 0.528393           |
| 2542.png    | 0.123319          | 0.0657112           |
| 2544.png    | 0.162712          | 0.0885609           |
| 2545.png    | 0.426288          | 0.27088           |
| 255.png     | 0.65345          | 0.485278           |
| 256.png     | 0.852096          | 0.742306           |
| 2562.png    | 0| 0 |
| 2564.png    | 0| 0 |
| 2565.png    | 0| 0 |
| 257.png     | 0.863501          | 0.75979           |
| 258.png     | 0.84628          | 0.733523           |
| 259.png     | 0.730596          | 0.575542           |
| 260.png     | 0.473239          | 0.309963           |
| 2606.png    | 0| 0 |
| 261.png     | 0.410998          | 0.258651           |
| 262.png     | 0.0140489          | 0.00707414            |
| 263.png     | 0.392732          | 0.244347           |
| 264.png     | 0.487236          | 0.322083           |
| 265.png     | 0| 0 |
| 2654.png    | 0.0122255          | 0.00615034            |
| 266.png     | 0| 0 |
| 267.png     | 0.232242          | 0.131376           |
| 2703.png    | 0| 0 |
| 2718.png    | 0| 0 |
| 2724.png    | 0| 0 |
| 2725.png    | 0| 0 |
| 2726.png    | 0| 0 |
| 2728.png    | 0| 0 |
| 2729.png    | 0| 0 |
| 2764.png    | 0| 0 |
| 2770.png    | 0.00566038           | 0.00283822            |
| 2771.png    | 0| 0 |
| 2789.png    | 0| 0 |
| 2790.png    | 0| 0 |
| 2791.png    | 0| 0 |
| 2792.png    | 0| 0 |
| 2793.png    | 0| 0 |
| 2795.png    | 0| 0 |
| 2796.png    | 0| 0 |
| 28.png      | 0| 0 |
| 281.png     | 0| 0 |
| 2812.png    | 0| 0 |
| 2826.png    | 0.321548          | 0.191574           |
| 2829.png    | 0.56297          | 0.39176           |
| 2831.png    | 0| 0 |
| 2833.png    | 0| 0 |
| 2843.png    | 0| 0 |
| 2844.png    | 0| 0 |
| 2845.png    | 0| 0 |
| 2870.png    | 0.0379575          | 0.0193459           |
| 2871.png    | 0| 0 |
| 2883.png    | 0.0632054          | 0.032634           |
| 2884.png    | 0.0123762          | 0.00622665            |
| 2895.png    | 0| 0 |
| 2896.png    | 0| 0 |
| 2897.png    | 0| 0 |
| 2898.png    | 0| 0 |
| 29.png      | 0| 0 |
| 2900.png    | 0| 0 |
| 2901.png    | 0| 0 |
| 2902.png    | 0| 0 |
| 2903.png    | 0| 0 |
| 2904.png    | 0| 0 |
| 2905.png    | 0| 0 |
| 2939.png    | 0| 0 |
| 2940.png    | 0| 0 |
| 295.png     | 0| 0 |
| 2989.png    | 0| 0 |
| 3.png       | 0| 0 |
| 30.png      | 0| 0 |
| 301.png     | 0| 0 |
| 3022.png    | 0| 0 |
| 3023.png    | 0| 0 |
| 3024.png    | 0| 0 |
| 3026.png    | 0| 0 |
| 3027.png    | 0| 0 |
| 303.png     | 0| 0 |
| 3047.png    | 0| 0 |
| 3048.png    | 0.000615574            | 0.000307882             |
| 31.png      | 0| 0 |
| 311.png     | 0| 0 |
| 312.png     | 0| 0 |
| 316.png     | 0.545634          | 0.375169           |
| 317.png     | 0.713523          | 0.554633           |
| 318.png     | 0| 0 |
| 319.png     | 0| 0 |
| 32.png      | 0| 0 |
| 320.png     | 0| 0 |
| 321.png     | 0| 0 |
| 322.png     | 0| 0 |
| 325.png     | 0| 0 |
| 33.png      | 0| 0 |
| 332.png     | 0| 0 |
| 333.png     | 0| 0 |
| 339.png     | 0| 0 |
| 342.png     | 0| 0 |
| 345.png     | 0| 0 |
| 346.png     | 0| 0 |
| 347.png     | 0| 0 |
| 35.png      | 0| 0 |
| 357.png     | 0| 0 |
| 359.png     | 0| 0 |
| 36.png      | 0| 0 |
| 37.png      | 0| 0 |
| 38.png      | 0| 0 |
| 384.png     | 0| 0 |
| 385.png     | 0| 0 |
| 386.png     | 0| 0 |
| 387.png     | 0| 0 |
| 388.png     | 0| 0 |
| 389.png     | 0| 0 |
| 39.png      | 0| 0 |
| 390.png     | 0| 0 |
| 391.png     | 0| 0 |
| 392.png     | 0| 0 |
| 395.png     | 0.00053234            | 0.000266241             |
